Ticker,Date,Strategy,EntryPrice,MarketRegime,Ret5d,SpyRet5d,BeatSpy5d,Ret10d,SpyRet10d,BeatSpy10d,Ret20d,SpyRet20d,BeatSpy20d
A,2026-01-29,box_bottom,133.27,bull,-2.72,-2.37,false,-6.30,-1.84,false,-8.92,-1.16,false
AAPL,2026-01-13,box_bottom,261.05,bull,-5.13,-1.21,false,-1.77,0.24,false,5.54,-0.26,true
AAPL,2026-01-21,box_bottom,247.65,bull,3.55,1.46,true,11.65,0.12,true,5.22,-0.13,true
AAPL,2026-01-22,box_bottom,248.35,bull,4.00,0.73,true,11.10,-1.65,true,6.54,0.07,true
AAPL,2026-01-23,box_bottom,248.04,bull,4.61,0.40,true,12.13,0.20,true,7.31,-0.99,true
AAPL,2026-03-23,box_bottom,251.49,bear,-1.93,-3.57,true,0.80,0.59,true,5.84,7.43,false
ABT,2025-12-10,box_bottom,122.55,bull,3.39,-2.35,true,1.84,0.41,true,2.75,0.95,true
ABT,2025-12-11,box_bottom,123.28,bull,1.49,-1.84,true,1.27,0.17,true,1.10,0.87,true
ABT,2026-03-16,box_bottom,109.95,bear,-4.64,-2.04,false,-7.34,-5.54,false,-8.09,3.80,false
ABT,2026-03-25,box_bottom,104.83,bear,-2.34,-0.24,false,-2.01,3.52,false,-11.78,7.86,false
ABT,2026-03-26,box_bottom,104.57,bear,-1.63,1.66,false,-4.08,5.33,false,-12.85,10.67,false
ABT,2026-03-31,box_bottom,102.67,bear,0.87,3.95,false,-1.08,7.63,false,-11.05,9.42,false
ABT,2026-04-01,box_bottom,102.38,bear,0.33,3.77,false,-6.75,7.08,false,-11.32,9.68,false
ABT,2026-04-02,box_bottom,102.87,bear,-2.50,3.60,false,-5.89,8.28,false,-13.04,9.88,false
ACGL,2026-03-17,box_bottom,94.40,bear,-0.85,-2.63,true,1.68,-3.05,true,3.25,4.35,false
ACGL,2026-06-04,box_bottom,88.34,bull,3.16,-2.55,true,3.21,-1.37,true,15.25,-0.77,true
ADBE,2025-10-17,box_bottom,333.26,bull,6.08,1.94,true,2.12,2.66,false,-0.65,1.13,false
ADM,2025-11-07,box_bottom,56.98,bull,2.86,0.14,true,2.90,-1.78,true,1.68,1.89,false
ADP,2025-10-20,box_bottom,283.03,bull,-0.88,2.08,false,-9.14,1.79,false,-11.35,-0.84,false
ADP,2025-11-04,box_bottom,259.22,bull,-1.55,1.15,false,-3.68,-2.25,false,0.39,1.28,false
ADP,2025-11-05,box_bottom,259.57,bull,-1.93,0.86,false,-3.53,-2.21,false,-0.07,1.01,false
ADP,2026-02-02,box_bottom,247.56,bull,-8.46,-0.21,false,-13.93,-1.81,false,-12.64,-2.17,false
ADSK,2025-10-13,box_bottom,307.97,bull,-0.01,1.25,false,1.81,3.35,false,-3.00,2.78,false
ADSK,2025-10-17,box_bottom,303.66,bull,3.04,1.94,true,-0.76,2.66,false,-1.41,1.13,false
AEE,2025-12-15,box_bottom,98.87,bull,0.60,0.60,false,1.89,0.92,true,3.71,1.41,true
AEP,2025-12-15,box_bottom,115.77,bull,-0.99,0.60,false,0.19,0.92,false,2.02,1.41,true
AFL,2025-10-27,box_bottom,107.55,bull,-0.54,-0.28,false,5.61,-0.55,true,2.63,-2.41,true
AFL,2025-10-30,box_bottom,106.84,bull,6.42,-1.40,true,7.65,-1.15,true,3.25,0.52,true
AFL,2026-03-23,box_bottom,106.65,bear,1.43,-3.57,true,3.63,0.59,true,8.74,7.43,true
AFL,2026-03-25,box_bottom,107.21,bear,2.27,-0.24,true,5.47,3.52,true,7.38,7.86,false
AIG,2025-11-26,box_bottom,76.04,bull,1.63,0.69,true,8.96,1.40,true,13.73,1.56,true
AIG,2026-03-23,box_bottom,75.09,bear,-1.38,-3.57,true,1.44,0.59,true,3.78,7.43,false
AIG,2026-03-24,box_bottom,74.34,bear,1.22,-0.43,true,4.16,3.50,true,2.27,8.88,false
AIG,2026-03-30,box_bottom,74.05,bear,2.86,4.31,false,4.01,9.89,false,0.15,12.61,false
AJG,2025-10-22,box_bottom,283.04,bull,-7.43,2.93,false,-12.36,1.46,false,-12.13,-0.77,false
AJG,2025-12-09,box_bottom,239.91,bull,5.03,-0.61,true,7.83,0.72,true,10.27,0.95,true
AJG,2025-12-10,box_bottom,240.45,bull,4.35,-2.35,true,8.45,0.41,true,10.04,0.95,true
AKAM,2025-11-07,squeeze_breakout,83.74,bull,4.10,0.14,true,6.29,-1.78,true,1.89,1.89,false
AKAM,2026-01-12,squeeze_breakout,91.27,bull,-1.83,-2.53,true,13.14,0.05,true,3.43,-0.44,true
ALL,2025-10-22,box_bottom,194.79,bull,-2.46,2.93,false,-0.02,1.46,false,7.77,-0.77,true
ALL,2025-10-29,box_bottom,190.00,bull,2.50,-1.43,true,10.11,-0.58,true,12.56,-1.12,true
ALL,2025-10-30,box_bottom,191.88,bull,3.19,-1.40,true,10.05,-1.15,true,11.00,0.52,true
ALL,2026-01-22,box_bottom,195.28,bull,1.59,0.73,true,10.20,-1.65,true,5.68,0.07,true
ALLE,2025-11-05,box_bottom,165.81,bull,1.55,0.86,true,-3.09,-2.21,false,-2.99,1.01,false
AMAT,2026-01-05,squeeze_breakout,284.32,bull,8.06,1.08,true,11.93,-1.47,true,12.08,0.26,true
AMCR,2025-10-10,box_bottom,39.65,bull,2.77,1.74,true,2.65,3.71,false,5.55,2.75,true
AMCR,2026-04-30,box_bottom,38.04,bull,4.94,1.80,true,1.45,4.11,false,2.05,5.26,false
AMCR,2026-05-05,box_bottom,37.64,bull,4.20,1.99,true,-2.52,1.38,false,0.64,4.21,false
AME,2025-10-13,box_bottom,182.24,bull,2.83,1.25,true,2.47,3.35,false,8.65,2.78,true
AME,2026-03-17,box_bottom,215.56,bear,0.66,-2.63,true,-0.56,-3.05,true,6.75,4.35,true
AMGN,2026-03-23,box_bottom,349.77,bear,-0.22,-3.57,true,-2.79,0.59,false,-1.40,7.43,false
AMGN,2026-03-25,box_bottom,353.93,bear,-0.18,-0.24,true,0.47,3.52,false,-1.50,7.86,false
AMGN,2026-03-30,box_bottom,349.00,bear,-2.58,4.31,false,0.56,9.89,false,-2.70,12.61,false
AMGN,2026-05-05,box_bottom,329.59,bull,2.03,1.99,true,0.35,1.38,false,2.62,4.21,false
AMP,2025-10-20,box_bottom,472.68,bull,2.53,2.08,true,-4.29,1.79,false,-6.74,-0.84,false
AMT,2025-10-10,box_bottom,186.68,bull,2.47,1.74,true,2.59,3.71,false,-4.68,2.75,false
AMT,2025-10-14,box_bottom,186.51,bull,3.14,1.37,true,-2.03,3.75,false,-0.92,3.14,false
AON,2025-10-30,box_bottom,328.19,bull,3.60,-1.40,true,6.93,-1.15,true,7.84,0.52,true
AON,2026-01-22,box_bottom,335.96,bull,2.08,0.73,true,2.20,-1.65,true,-3.24,0.07,false
AON,2026-05-07,box_bottom,313.59,bull,0.58,2.27,false,3.39,1.52,true,4.76,0.82,true
AOS,2025-10-14,box_bottom,68.82,bull,3.17,1.37,true,-2.88,3.75,false,-4.40,3.14,false
APD,2025-10-13,box_bottom,260.86,bull,-2.55,1.25,false,-1.96,3.35,false,-0.93,2.78,false
APD,2025-10-14,box_bottom,262.00,bull,-2.78,1.37,false,-2.89,3.75,false,0.09,3.14,false
APD,2025-11-04,box_bottom,240.77,bull,8.91,1.15,true,4.73,-2.25,true,8.13,1.28,true
APD,2026-06-02,box_bottom,279.29,bull,1.32,-2.96,true,0.43,-1.22,true,9.71,-1.82,true
APD,2026-06-03,box_bottom,282.27,bull,-2.04,-3.82,true,-0.18,-1.76,true,11.31,-1.25,true
APD,2026-06-30,squeeze_breakout,293.18,bull,1.22,-0.18,true,0.17,1.08,false,0.00,0.00,false
ARE,2026-06-26,squeeze_breakout,55.22,bear,-9.69,3.06,false,-12.93,2.77,false,0.00,0.00,false
ATO,2025-12-12,box_bottom,168.37,bull,-0.99,-0.17,false,0.24,0.89,false,0.02,1.76,false
ATO,2026-05-21,box_bottom,177.46,bull,-4.69,1.85,false,-4.07,-0.70,false,-4.43,0.22,false
ATO,2026-05-22,box_bottom,177.81,bull,-6.00,1.73,false,-5.58,-0.86,false,-3.78,-1.62,false
ATO,2026-06-02,box_bottom,168.75,bull,-0.67,-2.96,true,0.52,-1.22,true,2.54,-1.82,true
ATO,2026-06-03,box_bottom,168.30,bull,0.58,-3.82,true,0.80,-1.76,true,5.09,-1.25,true
ATO,2026-06-05,box_bottom,170.24,bull,-0.16,0.57,false,-0.38,0.93,false,4.31,1.38,true
AVB,2025-10-14,box_bottom,185.42,bull,0.92,1.37,false,-0.70,3.75,false,-3.55,3.14,false
AVB,2026-03-17,box_bottom,170.57,bear,-4.11,-2.63,false,-4.23,-3.05,false,0.42,4.35,false
AVB,2026-03-23,box_bottom,163.27,bear,-1.05,-3.57,true,2.73,0.59,true,5.43,7.43,false
